ID,Name,Category,Type,Grade,Score,Missing_Fields
ENT-2,Ramon Llull,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-3,Josef  Koch,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-4,Paul Wilpert,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-5,Albert Zimmermann,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-6,"Aertsen
Herausgegeben",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-7,"Andreas Speer
In",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-8,Tzotcho Boiadjiev,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-9,Kent Emery,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-10,Wouter Goris,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-11,Esoteric Sources,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-12,"Judaism
 Texts",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-13,"Eastern Christianity
Chief",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-14,"Editor
Ken Parry",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-15,Macquarie University,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-16,"Editorial Board
Alessandro",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-17,Monica Blanchard,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-18,Catholic University,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-19,Malcolm Choat,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-20,Peter Galadza,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-21,Saint Paul University,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-22,Victor Ghica,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-23,Norwegian School,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-24,Emma Loosley,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-25,Basil Lourie,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-26,St Petersburg,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-27,"Columbia
University",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-28,Stephen Rapp,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-29,Sam Houston State,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-30,Eastern Christianityis,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-31,"Eastern Christian
Studies",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-32,Eastern Orthodox,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-33,Oriental Orthodox,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-34,Eastern Catholic,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-35,"Eastern
Christianity",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-36,Eastern Christianity,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-37,Christian East,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-38,The Unfolding Vision,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-39,Melancholy Experience,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-40,"Long
Eighteenth Century",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-41,Allan Ingram,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-42,Michelle Faubert,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-43,Reading Madness,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-44,"Eighteenth Century
Also",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-45,Stuart Sim,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-46,The State,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-47,David Walker,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-48,Narrative Practice,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-49,Narrative Form,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-50,"Defoe
Also",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-51,Clark Lawlor,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-52,The Making,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-53,Romantic Disease,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-54,Richard Terry,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-55,An English Genre,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-56,Leigh Wetherall,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-57,Paul Douglass,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-58,"Iwasreallyeagertotrymyhandasa
Publisher",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-59,The Ring,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-60,Henry Vaughan,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-61,"Life Sciences
Vitalism",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-62,"Enlightenment 
Life Science",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-63,"Sebastian Normandin
Charles",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-64,Wolfe Editors    Vitalism,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-65,Enlightenment Life Science,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-66,Life Sciences,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-67,Ghent University,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-68,"Belgium
Philippe Huneman",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-69,"France
Thomas",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-70,"Germany
Editorial Board",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-71,"Editors
Charles",Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-76,Marshall Abrams,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-77,Andre Ariew,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-78,Domenico Bertoloni Meli,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-79,Richard Burian,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-80,Virginia Tech,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-81,Pietro Corsi,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-82,Paul Farber,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-83,Oregon State,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-84,Lisa Gannett,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-85,Saint Mary,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-86,Andy Gardner,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-87,Jean Gayon,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-88,Guido Giglioni,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-89,Warburg Institute,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-90,Thomas Heams,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-91,James Lennox,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-92,Annick Lesne,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-93,Tim Lewens,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-94,Edouard Machery,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-95,Hans Metz,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-96,Roberta Millstein,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
ENT-97,Dominic Murphy,Entity,Entity,F (Skeleton),20,"Period, Summary, Attributes, Domain"
